id;2020/12;2021/12;2022/12;2023/09
Dönen Varlıklar;30.663.146;65.428.752;119.710.705;196.665.762
Duran Varlıklar;30.505.376;37.106.249;49.181.630;54.433.334
Toplam Varlıklar;61.168.522;102.535.001;168.892.335;251.099.096
Kısa Vadeli Yükümlülükler;28.340.528;64.001.571;78.895.410;152.675.285
Uzun Vadeli Yükümlülükler;21.155.469;20.705.913;22.811.153;25.858.901
Toplam Yükümlülükler;49.495.997;84.707.484;101.706.563;178.534.186
Ana Ortaklığa Ait Özkaynaklar;11.446.401;17.557.210;66.743.279;71.853.782
Ödenmiş Sermaye;250.419;250.419;275.257;1.926.796
Kontrol Gücü Olmayan Paylar;226.124;270.307;442.493;711.128
Toplam Özkaynaklar;11.672.525;17.827.517;67.185.772;72.564.910
Toplam Kaynaklar;61.168.522;102.535.001;168.892.335;251.099.096
Hasılat;63.243.815;150.971.584;481.764.656;382.368.716
Satışların Maliyeti;-61.479.585;-135.520.941;-418.987.726;-318.094.623
Ticari Faaliyetlerden Brüt Kar (Zarar);1.764.230;15.450.643;62.776.930;64.274.093
Brüt Kâr (Zarar);1.764.230;15.450.643;62.776.930;64.274.093
Esas Faaliyet Kârı (Zararı);-619.027;464.591;45.606.647;46.483.461
Finansman Geliri (Gideri) Öncesi Faaliyet Kârı (Zararı);-646.837;1.165.530;45.971.985;48.028.186
Sürdürülen Faaliyetler Vergi Öncesi Kârı (Zararı);-3.795.394;2.161.179;39.875.557;44.364.556
Sürdürülen Faaliyetler Dönem Kârı (Zararı);-2.422.925;3.436.175;41.260.567;35.549.556
Net Dönem Kârı (Zararı);-2.422.925;3.436.175;41.260.567;35.549.556
Dönem Kârının (Zararının) Dağılımı, Kontrol Gücü Olmayan Paylar;70.586;117.041;215.946;277.991
Dönem Kârının (Zararının) Dağılımı, Ana Ortaklık Payları;-2.493.511;3.319.134;41.044.621;35.271.565
Diğer Kapsamlı Gelir (Gider);964.516;2.738.837;6.884.245;-3.170.418
Toplam Kapsamlı Gelir (Gider);-1.458.409;6.175.012;48.144.812;32.379.138
Toplam Kapsamlı Gelirin Dağılımı, Kontrol Gücü Olmayan Paylar;58.025;64.203;210.491;268.635
Toplam Kapsamlı Gelirin Dağılımı, Ana Ortaklık Payları;-1.516.434;6.110.809;47.934.321;32.110.503
